Upper tier local authorities Code,Upper tier local authorities,Age (9 categories) Code,Age (9 categories),Observation
E06000001,Hartlepool,1,Aged 4 years and under,4982
E06000001,Hartlepool,2,Aged 5 to 9 years,5582
E06000001,Hartlepool,3,Aged 10 to 15 years,7089
E06000001,Hartlepool,4,Aged 16 to 24 years,9122
E06000001,Hartlepool,5,Aged 25 to 34 years,11379
E06000001,Hartlepool,6,Aged 35 to 49 years,15945
E06000001,Hartlepool,7,Aged 50 to 64 years,20007
E06000001,Hartlepool,8,Aged 65 to 74 years,10331
E06000001,Hartlepool,9,Aged 75 years and over,7902
E06000002,Middlesbrough,1,Aged 4 years and under,8928
E06000002,Middlesbrough,2,Aged 5 to 9 years,9795
E06000002,Middlesbrough,3,Aged 10 to 15 years,11263
E06000002,Middlesbrough,4,Aged 16 to 24 years,16944
E06000002,Middlesbrough,5,Aged 25 to 34 years,20642
E06000002,Middlesbrough,6,Aged 35 to 49 years,25349
E06000002,Middlesbrough,7,Aged 50 to 64 years,26825
E06000002,Middlesbrough,8,Aged 65 to 74 years,13670
E06000002,Middlesbrough,9,Aged 75 years and over,10508
E06000003,Redcar and Cleveland,1,Aged 4 years and under,6814
E06000003,Redcar and Cleveland,2,Aged 5 to 9 years,7874
E06000003,Redcar and Cleveland,3,Aged 10 to 15 years,9501
E06000003,Redcar and Cleveland,4,Aged 16 to 24 years,12191
E06000003,Redcar and Cleveland,5,Aged 25 to 34 years,15370
E06000003,Redcar and Cleveland,6,Aged 35 to 49 years,22804
E06000003,Redcar and Cleveland,7,Aged 50 to 64 years,30230
E06000003,Redcar and Cleveland,8,Aged 65 to 74 years,17172
E06000003,Redcar and Cleveland,9,Aged 75 years and over,14575
E06000004,Stockton-on-Tees,1,Aged 4 years and under,10733
E06000004,Stockton-on-Tees,2,Aged 5 to 9 years,12429
E06000004,Stockton-on-Tees,3,Aged 10 to 15 years,15423
E06000004,Stockton-on-Tees,4,Aged 16 to 24 years,17904
E06000004,Stockton-on-Tees,5,Aged 25 to 34 years,25052
E06000004,Stockton-on-Tees,6,Aged 35 to 49 years,37193
E06000004,Stockton-on-Tees,7,Aged 50 to 64 years,40676
E06000004,Stockton-on-Tees,8,Aged 65 to 74 years,21046
